X,Y,Name,description
2.3420781,48.8643574,Restaurant Kei,
2.3807315,48.8535789,Septime,
2.309736,48.860224,Restaurant David Toutain,
2.7036939,50.7929559,Auberge du Vert Mont,
1.754556,50.471102,La Grenouillère,
2.3192137,48.8701341,Jean-François Piège,
-2.2999281,47.023714,La Marine,
2.341767,48.8615012,Restaurant yam'Tcha,
2.3169827,48.8557513,Arpège,
2.3006526,48.869143,La Scène Restaurant,
2.3373794,48.867702,Sushi-B Paris,
2.3374347,48.8664208,Verjus,
2.2988973,48.873015,Restaurant Copenhague,
127.0390983,37.522257,Mingles,
2.347721,48.876063,NE/SO,
4.88553,44.9176569,Maison Pic,
2.29904,48.864082,Antoine,
6.2108,45.83925,L’Auberge du Père Bise - Jean Sulpice,
6.144522,45.9178437,Le Clos des Sens,
2.3097858,48.8673954,Le Clarence,
6.1223951,45.8997293,L'Esquisse,
6.172057,45.8888907,"Hôtel Restaurant Yoann CONTE, bord du lac",
2.3086444,48.8597484,Sylvestre,
6.400328,45.878773,MARC VEYRAT - Maison des Bois,
12.6104808,55.6828273,Noma,
2.4365385,48.8476689,L'Ours,
12.5721074,55.7036082,Geranium,
18.0585758,59.3338761,Frantzén,
3.2986417,43.5545667,Äponem L'Auberge du Presbytere,
2.307617,48.873616,Apicius,
2.8919657,44.6807651,Le Suquet - Sebastien Bras,
2.3132848,48.8697628,La Réserve Paris - Hôtel et Spa,
2.3224834,48.8362615,Mosuke par Mory Sacko,
7.4442693,43.7509555,Elsa,
4.788747,43.74007,Baumanière Les Baux de Provence,
